Geneid	symbol	DMSO_express	IBR_express	RES_express
ENSG00000000003	TSPAN6	FALSE	FALSE	FALSE
ENSG00000000005	TNMD	FALSE	FALSE	FALSE
ENSG00000000419	DPM1	TRUE	TRUE	TRUE
ENSG00000000457	SCYL3	TRUE	TRUE	TRUE
ENSG00000000460	C1orf112	TRUE	TRUE	TRUE
ENSG00000000938	FGR	FALSE	FALSE	FALSE
ENSG00000000971	CFH	FALSE	FALSE	FALSE
ENSG00000001036	FUCA2	FALSE	FALSE	FALSE
ENSG00000001084	GCLC	TRUE	TRUE	TRUE
ENSG00000001167	NFYA	TRUE	TRUE	TRUE
ENSG00000001460	STPG1	FALSE	FALSE	FALSE
ENSG00000001461	NIPAL3	TRUE	TRUE	TRUE
ENSG00000001497	LAS1L	TRUE	TRUE	TRUE
ENSG00000001561	ENPP4	TRUE	TRUE	TRUE
ENSG00000001617	SEMA3F	FALSE	FALSE	FALSE
ENSG00000001626	CFTR	FALSE	FALSE	FALSE
ENSG00000001629	ANKIB1	TRUE	TRUE	TRUE
ENSG00000001630	CYP51A1	TRUE	TRUE	TRUE
ENSG00000001631	KRIT1	TRUE	TRUE	TRUE
ENSG00000002016	RAD52	FALSE	FALSE	FALSE
ENSG00000002079	MYH16	FALSE	FALSE	FALSE
ENSG00000002330	BAD	TRUE	TRUE	TRUE
ENSG00000002549	LAP3	TRUE	TRUE	TRUE
ENSG00000002586	CD99	TRUE	TRUE	TRUE
ENSG00000002587	HS3ST1	FALSE	FALSE	FALSE
ENSG00000002726	AOC1	FALSE	FALSE	FALSE
ENSG00000002745	WNT16	FALSE	FALSE	TRUE
ENSG00000002746	HECW1	FALSE	FALSE	FALSE
ENSG00000002822	MAD1L1	TRUE	TRUE	TRUE
ENSG00000002834	LASP1	TRUE	TRUE	TRUE
ENSG00000002919	SNX11	TRUE	TRUE	TRUE
ENSG00000002933	TMEM176A	FALSE	FALSE	FALSE
ENSG00000003056	M6PR	TRUE	TRUE	TRUE
ENSG00000003096	KLHL13	TRUE	TRUE	FALSE
ENSG00000003137	CYP26B1	FALSE	FALSE	FALSE
ENSG00000003147	ICA1	FALSE	FALSE	FALSE
ENSG00000003249	DBNDD1	FALSE	FALSE	FALSE
ENSG00000003393	ALS2	TRUE	TRUE	TRUE
ENSG00000003400	CASP10	FALSE	TRUE	TRUE
ENSG00000003402	CFLAR	TRUE	FALSE	TRUE
ENSG00000003436	TFPI	FALSE	FALSE	FALSE
ENSG00000003509	NDUFAF7	TRUE	TRUE	TRUE
ENSG00000003756	RBM5	TRUE	TRUE	TRUE
ENSG00000003987	MTMR7	FALSE	FALSE	FALSE
ENSG00000003989	SLC7A2	FALSE	FALSE	FALSE
ENSG00000004059	ARF5	TRUE	TRUE	TRUE
ENSG00000004139	SARM1	TRUE	FALSE	TRUE
ENSG00000004142	POLDIP2	TRUE	TRUE	TRUE
ENSG00000004399	PLXND1	FALSE	FALSE	TRUE
ENSG00000004455	AK2	TRUE	TRUE	TRUE
ENSG00000004468	CD38	TRUE	TRUE	TRUE
ENSG00000004478	FKBP4	TRUE	TRUE	TRUE
ENSG00000004487	KDM1A	TRUE	TRUE	TRUE
ENSG00000004534	RBM6	TRUE	TRUE	TRUE
ENSG00000004660	CAMKK1	TRUE	TRUE	TRUE
ENSG00000004700	RECQL	TRUE	TRUE	TRUE
ENSG00000004766	CCDC132	TRUE	TRUE	TRUE
ENSG00000004776	HSPB6	FALSE	FALSE	FALSE
ENSG00000004777	ARHGAP33	FALSE	FALSE	FALSE
ENSG00000004779	NDUFAB1	TRUE	TRUE	TRUE
ENSG00000004799	PDK4	FALSE	FALSE	FALSE
ENSG00000004809	SLC22A16	FALSE	FALSE	FALSE
ENSG00000004838	ZMYND10	FALSE	FALSE	FALSE
ENSG00000004846	ABCB5	FALSE	FALSE	FALSE
ENSG00000004848	ARX	FALSE	FALSE	FALSE
ENSG00000004864	SLC25A13	TRUE	TRUE	TRUE
ENSG00000004866	ST7	TRUE	TRUE	TRUE
ENSG00000004897	CDC27	TRUE	TRUE	TRUE
ENSG00000004939	SLC4A1	FALSE	FALSE	FALSE
ENSG00000004948	CALCR	FALSE	FALSE	FALSE
ENSG00000004961	HCCS	TRUE	TRUE	TRUE
ENSG00000004975	DVL2	TRUE	TRUE	TRUE
ENSG00000005001	PRSS22	FALSE	FALSE	FALSE
ENSG00000005007	UPF1	TRUE	TRUE	TRUE
ENSG00000005020	SKAP2	TRUE	TRUE	TRUE
ENSG00000005022	SLC25A5	TRUE	TRUE	TRUE
ENSG00000005059	CCDC109B	TRUE	TRUE	TRUE
ENSG00000005073	HOXA11	FALSE	FALSE	FALSE
ENSG00000005075	POLR2J	TRUE	TRUE	TRUE
ENSG00000005100	DHX33	TRUE	TRUE	TRUE
ENSG00000005102	MEOX1	FALSE	FALSE	FALSE
ENSG00000005108	THSD7A	FALSE	FALSE	FALSE
ENSG00000005156	LIG3	TRUE	TRUE	TRUE
ENSG00000005175	RPAP3	TRUE	TRUE	TRUE
ENSG00000005187	ACSM3	FALSE	FALSE	FALSE
ENSG00000005189		FALSE	FALSE	FALSE
ENSG00000005194	CIAPIN1	TRUE	TRUE	TRUE
ENSG00000005206	SPPL2B	FALSE	TRUE	TRUE
ENSG00000005238	FAM214B	FALSE	FALSE	FALSE
ENSG00000005243	COPZ2	FALSE	FALSE	FALSE
ENSG00000005249	PRKAR2B	TRUE	TRUE	FALSE
ENSG00000005302	MSL3	TRUE	TRUE	TRUE
ENSG00000005339	CREBBP	TRUE	TRUE	TRUE
ENSG00000005379	BZRAP1	FALSE	TRUE	TRUE
ENSG00000005381	MPO	FALSE	FALSE	FALSE
ENSG00000005421	PON1	FALSE	FALSE	FALSE
ENSG00000005436	GCFC2	TRUE	TRUE	TRUE
ENSG00000005448	WDR54	TRUE	TRUE	TRUE
ENSG00000005469	CROT	TRUE	TRUE	TRUE
ENSG00000005471	ABCB4	TRUE	TRUE	TRUE
ENSG00000005483	KMT2E	TRUE	TRUE	TRUE
ENSG00000005486	RHBDD2	TRUE	TRUE	TRUE
ENSG00000005513	SOX8	FALSE	FALSE	FALSE
ENSG00000005700	IBTK	TRUE	TRUE	TRUE
ENSG00000005801	ZNF195	TRUE	TRUE	TRUE
ENSG00000005810	MYCBP2	TRUE	TRUE	TRUE
ENSG00000005812	FBXL3	TRUE	TRUE	TRUE
ENSG00000005844	ITGAL	TRUE	TRUE	TRUE
ENSG00000005882	PDK2	TRUE	TRUE	TRUE
ENSG00000005884	ITGA3	FALSE	FALSE	FALSE
ENSG00000005889	ZFX	TRUE	TRUE	TRUE
ENSG00000005893	LAMP2	TRUE	TRUE	TRUE
ENSG00000005955	GGNBP2	TRUE	TRUE	TRUE
ENSG00000005961	ITGA2B	FALSE	FALSE	FALSE
ENSG00000005981	ASB4	FALSE	FALSE	FALSE
ENSG00000006007	GDE1	TRUE	TRUE	TRUE
ENSG00000006015	C19orf60	TRUE	TRUE	TRUE
ENSG00000006016	CRLF1	FALSE	FALSE	FALSE
ENSG00000006025	OSBPL7	FALSE	FALSE	FALSE
ENSG00000006042	TMEM98	FALSE	FALSE	FALSE
ENSG00000006047	YBX2	FALSE	TRUE	FALSE
ENSG00000006059	KRT33A	FALSE	FALSE	FALSE
ENSG00000006062	MAP3K14	TRUE	TRUE	TRUE
ENSG00000006071	ABCC8	FALSE	FALSE	FALSE
ENSG00000006074	CCL18	FALSE	FALSE	FALSE
ENSG00000006075	CCL3	TRUE	FALSE	FALSE
ENSG00000006114	SYNRG	TRUE	TRUE	TRUE
ENSG00000006116	CACNG3	FALSE	FALSE	FALSE
ENSG00000006118	TMEM132A	FALSE	FALSE	FALSE
ENSG00000006125	AP2B1	TRUE	TRUE	TRUE
ENSG00000006128	TAC1	FALSE	FALSE	FALSE
ENSG00000006194	ZNF263	TRUE	TRUE	TRUE
ENSG00000006210	CX3CL1	FALSE	FALSE	FALSE
ENSG00000006282	SPATA20	FALSE	FALSE	FALSE
